"background_w15_70 - RawData"
"Wavelength nm."	"Abs."
200,00	1,000
200,20	0,909
200,40	0,823
200,60	0,909
200,80	0,899
201,00	0,900
201,20	0,827
201,40	0,706
201,60	0,788
201,80	1,030
202,00	1,033
202,20	0,973
202,40	0,986
202,60	0,924
202,80	0,964
203,00	1,030
203,20	0,974
203,40	1,012
203,60	1,057
203,80	0,938
204,00	0,902
204,20	0,759
204,40	0,741
204,60	0,872
204,80	0,870
205,00	0,872
205,20	0,966
205,40	0,932
205,60	0,894
205,80	0,955
206,00	1,018
206,20	1,097
206,40	1,066
206,60	0,959
206,80	0,996
207,00	1,068
207,20	1,055
207,40	0,975
207,60	0,936
207,80	0,984
208,00	1,051
208,20	1,011
208,40	0,931
208,60	0,941
208,80	1,059
209,00	1,074
209,20	0,998
209,40	1,044
209,60	1,072
209,80	0,977
210,00	0,956
210,20	1,010
210,40	1,023
210,60	1,076
210,80	1,051
211,00	0,990
211,20	0,998
211,40	1,001
211,60	0,990
211,80	1,029
212,00	1,075
212,20	1,045
212,40	1,040
212,60	1,042
212,80	1,070
213,00	1,082
213,20	1,064
213,40	1,063
213,60	1,022
213,80	1,007
214,00	1,004
214,20	0,982
214,40	0,992
214,60	1,011
214,80	1,000
215,00	0,970
215,20	0,943
215,40	0,946
215,60	1,012
215,80	1,057
216,00	1,000
216,20	0,969
216,40	0,972
216,60	0,974
216,80	0,993
217,00	0,994
217,20	0,992
217,40	1,009
217,60	1,010
217,80	0,975
218,00	0,963
218,20	0,980
218,40	1,010
218,60	1,013
218,80	0,975
219,00	0,991
219,20	1,032
219,40	1,040
219,60	1,026
219,80	1,036
220,00	1,030
220,20	0,975
220,40	0,943
220,60	0,946
220,80	0,942
221,00	0,938
221,20	0,939
221,40	0,964
221,60	1,004
221,80	1,006
222,00	1,007
222,20	1,007
222,40	0,998
222,60	0,967
222,80	0,970
223,00	0,984
223,20	0,966
223,40	0,975
223,60	0,978
223,80	0,967
224,00	0,963
224,20	0,957
224,40	0,982
224,60	0,991
224,80	0,979
225,00	0,982
225,20	0,963
225,40	0,995
225,60	1,015
225,80	1,004
226,00	1,019
226,20	1,008
226,40	0,980
226,60	0,978
226,80	0,997
227,00	0,980
227,20	0,975
227,40	0,982
227,60	0,996
227,80	1,016
228,00	0,991
228,20	0,990
228,40	0,978
228,60	0,962
228,80	0,988
229,00	1,004
229,20	0,987
229,40	0,943
229,60	0,913
229,80	0,923
230,00	0,935
230,20	0,934
230,40	0,941
230,60	0,929
230,80	0,935
231,00	0,940
231,20	0,931
231,40	0,929
231,60	0,909
231,80	0,901
232,00	0,910
232,20	0,914
232,40	0,915
232,60	0,896
232,80	0,877
233,00	0,880
233,20	0,865
233,40	0,850
233,60	0,865
233,80	0,866
234,00	0,871
234,20	0,874
234,40	0,850
234,60	0,837
234,80	0,841
235,00	0,843
235,20	0,835
235,40	0,823
235,60	0,823
235,80	0,822
236,00	0,815
236,20	0,844
236,40	0,852
236,60	0,830
236,80	0,824
237,00	0,812
237,20	0,827
237,40	0,840
237,60	0,828
237,80	0,815
238,00	0,806
238,20	0,817
238,40	0,826
238,60	0,823
238,80	0,814
239,00	0,810
239,20	0,802
239,40	0,800
239,60	0,823
239,80	0,833
240,00	0,831
240,20	0,837
240,40	0,830
240,60	0,829
240,80	0,835
241,00	0,830
241,20	0,828
241,40	0,833
241,60	0,837
241,80	0,833
242,00	0,821
242,20	0,821
242,40	0,823
242,60	0,829
242,80	0,828
243,00	0,828
243,20	0,832
243,40	0,831
243,60	0,846
243,80	0,851
244,00	0,846
244,20	0,841
244,40	0,836
244,60	0,842
244,80	0,831
245,00	0,826
245,20	0,837
245,40	0,834
245,60	0,825
245,80	0,836
246,00	0,832
246,20	0,815
246,40	0,808
246,60	0,825
246,80	0,838
247,00	0,819
247,20	0,814
247,40	0,809
247,60	0,806
247,80	0,805
248,00	0,801
248,20	0,792
248,40	0,791
248,60	0,795
248,80	0,783
249,00	0,775
249,20	0,779
249,40	0,771
249,60	0,758
249,80	0,757
250,00	0,756
250,20	0,743
250,40	0,737
250,60	0,727
250,80	0,707
251,00	0,701
251,20	0,707
251,40	0,704
251,60	0,693
251,80	0,685
252,00	0,676
252,20	0,672
252,40	0,674
252,60	0,670
252,80	0,663
253,00	0,663
253,20	0,663
253,40	0,660
253,60	0,651
253,80	0,640
254,00	0,638
