"w15_26_3nm_NiOx_real - RawData"
"Wavelength nm."	"Abs."
200,00	0,959
200,20	0,953
200,40	5,000
200,60	5,000
200,80	0,984
201,00	1,044
201,20	1,023
201,40	0,861
201,60	0,915
201,80	0,923
202,00	0,859
202,20	1,055
202,40	1,181
202,60	1,047
202,80	0,970
203,00	0,982
203,20	1,103
203,40	1,143
203,60	1,072
203,80	1,145
204,00	1,070
204,20	0,936
204,40	0,925
204,60	1,007
204,80	0,982
205,00	0,926
205,20	0,956
205,40	1,006
205,60	1,020
205,80	0,972
206,00	0,982
206,20	0,973
206,40	0,968
206,60	1,099
206,80	1,130
207,00	1,081
207,20	1,157
207,40	1,120
207,60	1,059
207,80	1,095
208,00	1,092
208,20	1,096
208,40	1,080
208,60	1,076
208,80	1,094
209,00	1,140
209,20	1,204
209,40	1,142
209,60	1,100
209,80	1,143
210,00	1,103
210,20	1,058
210,40	1,063
210,60	1,148
210,80	1,176
211,00	1,120
211,20	1,128
211,40	1,215
211,60	1,197
211,80	1,123
212,00	1,130
212,20	1,105
212,40	1,067
212,60	1,152
212,80	1,169
213,00	1,083
213,20	1,139
213,40	1,154
213,60	1,062
213,80	1,046
214,00	1,090
214,20	1,152
214,40	1,121
214,60	1,100
214,80	1,121
215,00	1,110
215,20	1,124
215,40	1,163
215,60	1,116
215,80	1,051
216,00	1,127
216,20	1,137
216,40	1,068
216,60	1,068
216,80	1,078
217,00	1,054
217,20	1,056
217,40	1,102
217,60	1,096
217,80	1,079
218,00	1,116
218,20	1,143
218,40	1,171
218,60	1,171
218,80	1,137
219,00	1,127
219,20	1,143
219,40	1,130
219,60	1,167
219,80	1,186
220,00	1,154
220,20	1,128
220,40	1,095
220,60	1,133
220,80	1,124
221,00	1,097
221,20	1,092
221,40	1,060
221,60	1,087
221,80	1,096
222,00	1,082
222,20	1,114
222,40	1,110
222,60	1,062
222,80	1,073
223,00	1,125
223,20	1,136
223,40	1,084
223,60	1,078
223,80	1,113
224,00	1,098
224,20	1,112
224,40	1,118
224,60	1,082
224,80	1,086
225,00	1,119
225,20	1,139
225,40	1,115
225,60	1,100
225,80	1,109
226,00	1,104
226,20	1,095
226,40	1,073
226,60	1,055
226,80	1,077
227,00	1,104
227,20	1,086
227,40	1,069
227,60	1,067
227,80	1,084
228,00	1,100
228,20	1,105
228,40	1,118
228,60	1,087
228,80	1,062
229,00	1,073
229,20	1,085
229,40	1,109
229,60	1,090
229,80	1,055
230,00	1,064
230,20	1,086
230,40	1,097
230,60	1,077
230,80	1,061
231,00	1,073
231,20	1,080
231,40	1,080
231,60	1,059
231,80	1,058
232,00	1,103
232,20	1,106
232,40	1,076
232,60	1,065
232,80	1,046
233,00	1,027
233,20	1,037
233,40	1,056
233,60	1,052
233,80	1,040
234,00	1,039
234,20	1,037
234,40	1,016
234,60	1,012
234,80	1,022
235,00	1,020
235,20	1,020
235,40	1,025
235,60	1,033
235,80	1,002
236,00	0,990
236,20	1,006
236,40	1,008
236,60	0,988
236,80	0,961
237,00	0,979
237,20	0,994
237,40	0,975
237,60	0,980
237,80	0,993
238,00	0,976
238,20	0,975
238,40	0,974
238,60	0,951
238,80	0,944
239,00	0,948
239,20	0,957
239,40	0,987
239,60	0,987
239,80	0,966
240,00	0,964
240,20	0,957
240,40	0,964
240,60	0,961
240,80	0,951
241,00	0,959
241,20	0,957
241,40	0,958
241,60	0,964
241,80	0,956
242,00	0,947
242,20	0,947
242,40	0,943
242,60	0,940
242,80	0,954
243,00	0,979
243,20	0,980
243,40	0,977
243,60	0,985
243,80	0,978
244,00	0,958
244,20	0,935
244,40	0,934
244,60	0,950
244,80	0,964
245,00	0,959
245,20	0,952
245,40	0,948
245,60	0,945
245,80	0,946
246,00	0,945
246,20	0,961
246,40	0,971
246,60	0,956
246,80	0,938
247,00	0,947
247,20	0,964
247,40	0,971
247,60	0,973
247,80	0,978
248,00	0,987
248,20	0,997
248,40	0,998
248,60	0,995
248,80	0,992
249,00	0,980
249,20	0,980
249,40	0,981
249,60	0,969
249,80	0,959
250,00	0,960
250,20	0,945
250,40	0,928
250,60	0,927
250,80	0,916
251,00	0,886
251,20	0,863
251,40	0,853
251,60	0,840
251,80	0,826
252,00	0,810
252,20	0,796
252,40	0,788
252,60	0,783
252,80	0,764
253,00	0,746
253,20	0,730
253,40	0,724
253,60	0,723
253,80	0,702
254,00	0,681
254,20	0,679
254,40	0,681
254,60	0,676
254,80	0,665
255,00	0,655
255,20	0,652
255,40	0,653
255,60	0,652
255,80	0,644
256,00	0,635
256,20	0,641
256,40	0,641
256,60	0,622
256,80	0,609
257,00	0,611
257,20	0,612
257,40	0,610
257,60	0,603
257,80	0,598
258,00	0,604
258,20	0,605
258,40	0,595
258,60	0,585
258,80	0,585
259,00	0,587
259,20	0,580
259,40	0,574
259,60	0,570
259,80	0,569
260,00	0,569
260,20	0,560
260,40	0,547
260,60	0,547
260,80	0,554
261,00	0,554
261,20	0,545
261,40	0,539
261,60	0,537
261,80	0,534
262,00	0,532
262,20	0,528
262,40	0,528
262,60	0,527
262,80	0,534
263,00	0,539
263,20	0,537
263,40	0,533
263,60	0,529
263,80	0,527
264,00	0,517
264,20	0,508
264,40	0,512
264,60	0,516
264,80	0,505
265,00	0,503
265,20	0,510
265,40	0,509
265,60	0,506
265,80	0,506
266,00	0,503
266,20	0,492
266,40	0,480
266,60	0,478
266,80	0,473
267,00	0,471
267,20	0,473
267,40	0,472
267,60	0,470
267,80	0,471
268,00	0,469
