"w15_26_3nm_NiOx - RawData"
"Wavelength nm."	"Abs."
200,00	1,258
200,20	5,000
200,40	5,000
200,60	1,335
200,80	1,084
201,00	1,273
201,20	1,081
201,40	0,938
201,60	0,980
201,80	0,976
202,00	1,067
202,20	1,068
202,40	1,386
202,60	1,449
202,80	1,098
203,00	0,956
203,20	1,119
203,40	1,535
203,60	1,566
203,80	1,267
204,00	1,454
204,20	1,363
204,40	1,035
204,60	1,001
204,80	1,128
205,00	1,262
205,20	1,099
205,40	1,036
205,60	1,146
205,80	1,120
206,00	0,995
206,20	1,177
206,40	1,251
206,60	1,094
206,80	1,059
207,00	1,183
207,20	1,201
207,40	1,139
207,60	1,240
207,80	1,237
208,00	1,118
208,20	1,145
208,40	1,192
208,60	1,357
208,80	1,336
209,00	1,137
209,20	1,144
209,40	1,207
209,60	1,240
209,80	1,213
210,00	1,235
210,20	1,170
210,40	1,165
210,60	1,247
210,80	1,152
211,00	1,150
211,20	1,209
211,40	1,117
211,60	1,124
211,80	1,206
212,00	1,211
212,20	1,160
212,40	1,133
212,60	1,198
212,80	1,212
213,00	1,216
213,20	1,272
213,40	1,253
213,60	1,220
213,80	1,275
214,00	1,283
214,20	1,206
214,40	1,186
214,60	1,190
214,80	1,190
215,00	1,194
215,20	1,173
215,40	1,152
215,60	1,108
215,80	1,125
216,00	1,181
216,20	1,208
216,40	1,230
216,60	1,227
216,80	1,224
217,00	1,164
217,20	1,137
217,40	1,135
217,60	1,100
217,80	1,139
218,00	1,187
218,20	1,184
218,40	1,145
218,60	1,150
218,80	1,225
219,00	1,242
219,20	1,238
219,40	1,244
219,60	1,194
219,80	1,226
220,00	1,212
220,20	1,159
220,40	1,174
220,60	1,168
220,80	1,189
221,00	1,185
221,20	1,186
221,40	1,229
221,60	1,222
221,80	1,183
222,00	1,177
222,20	1,203
222,40	1,200
222,60	1,197
222,80	1,200
223,00	1,145
223,20	1,163
223,40	1,194
223,60	1,178
223,80	1,187
224,00	1,181
224,20	1,181
224,40	1,168
224,60	1,135
224,80	1,187
225,00	1,219
225,20	1,153
225,40	1,128
225,60	1,151
225,80	1,167
226,00	1,152
226,20	1,134
226,40	1,142
