"w15_38_1nm_MoOx - RawData"
"Wavelength nm."	"Abs."
200,00	0,860
200,20	0,775
200,40	0,795
200,60	0,908
200,80	0,875
201,00	0,892
201,20	0,963
201,40	1,030
201,60	1,028
201,80	1,041
202,00	1,143
202,20	1,168
202,40	1,099
202,60	1,016
202,80	1,083
203,00	1,087
203,20	0,981
203,40	0,994
203,60	0,991
203,80	1,027
204,00	1,133
204,20	1,074
204,40	0,911
204,60	0,978
204,80	1,104
205,00	0,989
205,20	0,969
205,40	0,992
205,60	0,933
205,80	0,937
206,00	0,991
206,20	1,070
206,40	1,060
206,60	1,078
206,80	1,066
207,00	1,024
207,20	1,116
207,40	1,086
207,60	1,020
207,80	0,993
208,00	0,972
208,20	1,006
208,40	1,020
208,60	1,027
208,80	1,034
209,00	1,103
209,20	1,092
209,40	1,020
209,60	1,049
209,80	1,083
210,00	1,101
210,20	1,108
210,40	1,080
210,60	1,047
210,80	1,058
211,00	1,091
211,20	1,073
211,40	1,054
211,60	1,058
211,80	1,086
212,00	1,181
212,20	1,194
212,40	1,106
212,60	1,140
212,80	1,188
213,00	1,114
213,20	1,059
213,40	1,036
213,60	1,044
213,80	1,089
214,00	1,123
214,20	1,122
214,40	1,117
214,60	1,106
214,80	1,111
215,00	1,109
215,20	1,089
215,40	1,113
215,60	1,084
215,80	1,059
216,00	1,088
216,20	1,107
216,40	1,078
216,60	1,063
216,80	1,128
217,00	1,135
217,20	1,112
217,40	1,118
217,60	1,079
217,80	1,105
218,00	1,121
218,20	1,090
218,40	1,090
218,60	1,143
218,80	1,139
219,00	1,092
219,20	1,120
219,40	1,132
219,60	1,111
219,80	1,076
220,00	1,088
220,20	1,110
220,40	1,115
220,60	1,120
220,80	1,128
221,00	1,098
221,20	1,110
221,40	1,100
221,60	1,042
221,80	1,066
222,00	1,089
222,20	1,112
222,40	1,104
222,60	1,066
222,80	1,060
223,00	1,088
223,20	1,114
223,40	1,112
223,60	1,100
223,80	1,094
224,00	1,071
224,20	1,068
224,40	1,070
224,60	1,073
224,80	1,084
225,00	1,081
225,20	1,096
225,40	1,105
225,60	1,096
225,80	1,073
226,00	1,075
226,20	1,081
226,40	1,080
226,60	1,093
226,80	1,072
227,00	1,063
227,20	1,085
227,40	1,103
227,60	1,097
227,80	1,100
228,00	1,105
228,20	1,091
228,40	1,089
228,60	1,110
228,80	1,128
229,00	1,116
229,20	1,099
229,40	1,113
229,60	1,113
229,80	1,083
230,00	1,096
230,20	1,119
230,40	1,101
230,60	1,102
230,80	1,105
231,00	1,073
231,20	1,068
231,40	1,105
231,60	1,105
231,80	1,066
232,00	1,051
232,20	1,095
232,40	1,104
232,60	1,062
232,80	1,064
233,00	1,058
233,20	1,025
233,40	1,040
233,60	1,056
233,80	1,046
234,00	1,044
234,20	1,046
234,40	1,045
234,60	1,044
234,80	1,035
235,00	1,035
235,20	1,052
235,40	1,053
235,60	1,052
235,80	1,036
236,00	1,021
236,20	1,030
236,40	1,015
236,60	1,007
236,80	1,013
237,00	1,001
237,20	1,004
237,40	1,005
237,60	1,000
237,80	0,997
238,00	0,989
238,20	1,005
238,40	0,994
238,60	0,968
238,80	0,984
239,00	0,973
239,20	0,952
239,40	0,965
239,60	0,977
239,80	0,987
240,00	0,986
240,20	0,986
240,40	0,988
240,60	0,967
240,80	0,962
241,00	0,963
241,20	0,967
241,40	0,980
241,60	0,976
241,80	0,955
242,00	0,953
242,20	0,966
242,40	0,969
242,60	0,968
242,80	0,975
243,00	0,986
243,20	0,981
243,40	0,968
243,60	0,977
243,80	0,980
244,00	0,960
244,20	0,959
244,40	0,960
244,60	0,946
244,80	0,952
245,00	0,958
245,20	0,958
245,40	0,954
245,60	0,954
